Rank,Player,Team,Position,Age,Speed
445," Aguilar, Jesus",,1B,27,25
446," Sucre, Jesus",,C,29,24.9
447," Ramos, Wilson",,C,30,24.9
448," Rupp, Cameron",,C,29,24.9
449," Wieters, Matt",,C,31,24.9
450," Olson, Matt",,1B,23,24.9
451," Bour, Justin",,1B,29,24.9
452," Maxwell, Bruce",,C,27,24.9
453," Smoak, Justin",,1B,31,24.7
454," Molina, Yadier",,C,35,24.7
455," Gonzalez, Adrian",,1B,35,24.7
456," Leon, Sandy",,C,28,24.7
457," Ellis, A.J.",,C,36,24.6
458," Grandal, Yasmani",,C,29,24.5
459," Morales, Kendrys",,DH,34,24.5
460," Martinez, Victor",,DH,39,24.2
461," Bandy, Jett",,C,27,24.2
462," Montero, Miguel",,C,34,23.8
463," Graterol, Juan",,C,28,23.4
464," McCann, Brian",,C,33,23.4
465," Pujols, Albert",,DH,37,23
